boro,budgetline,type,description,fy17cn,fy17cx,fy17f,fy17s,fy17p,fy17total
richmond,EP-R004,EP,"PURCHASE OF EQUIPMENT FOR USE BY THE DEPT. OF ENVIRONMENTAL PROTECTION",,0,,,,0
citywide,F-D109,F,"CITY COUNCIL FUNDED VEHICLES AND EQUIPMENT, CITYWIDE",0,,,,,0
citywide,F-D175,F,"CITY COUNCIL FUNDED FACILITY IMPROVEMENTS, CITYWIDE",80000,,,,,80000
citywide,F-1,F,"FIRE ALARM COMMUNICATION SYSTEM, CITYWIDE",27250000,,0,0,,27250000
citywide,F-103,F,"NEW FIREBOATS AND RELATED EQUIPMENT",0,,0,,,0
citywide,F-109,F,"VEHICLE ACQUISITION, CITYWIDE",18115000,,0,,,18115000
citywide,F-175,F,"FACILITY IMPROVEMENTS, CITYWIDE",91545000,,0,0,,91545000
citywide,F-192,F,"FIREBOAT IMPROVEMENTS, CITYWIDE",0,,0,,,0
citywide,F-194,F,"EMERGENCY RESPONSE SYSTEM, CITYWIDE",0,,0,,,0
citywide,F-202,F,"SITES FOR FIRE DEPARTMENT CAPITAL PROJECTS",13000000,,,,,13000000
citywide,F-212,F,"MANAGEMENT INFORMATION AND CONTROL SYSTEM (MICS)",46870000,,0,,,46870000
bronx,F-X109,F,"VEHICLE ACQUISITION, THE BRONX",0,,,,,0
bronx,F-X175,F,"FACILITY IMPROVEMENTS, THE BRONX",0,,,,,0
brooklyn,F-KN067,F,"FDNY FOUNDATION",0,,,,,0
brooklyn,F-K109,F,"VEHICLE ACQUISITION, BROOKLYN",0,,,,,0
manhattan,F-M109,F,"VEHICLE ACQUISITION, MANHATTAN",0,,,,,0
manhattan,F-M175,F,"FACILITY IMPROVEMENTS, MANHATTAN",0,,,,,0
manhattan,F-204,F,"NEW TRAINING CENTER FOR THE NEW YORK FIRE DEPARTMENT",5422000,,0,,0,5422000
queens,F-Q109,F,"VEHICLE ACQUISITION, QUEENS",0,,,,,0
queens,F-Q175,F,"FACILITY IMPROVEMENTS, QUEENS",0,,,,,0
richmond,F-R109,F,"VEHICLE ACQUISITION, STATEN ISLAND",1000,,,,,1000
citywide,FA-D001,FA,"FERRY INFRASTRUCTURE IMPROVEMENTS, CITYWIDE",0,,,,,0
citywide,FA-21,FA,"FERRY BOATS, TERMINALS, FLOATING EQUIPMENT AND RELATED ITEMS",0,,0,0,0,0
citywide,FA-27,FA,"PRIVATE FERRY FACILITIES, BOATS, FLOATING EQUIPMENT, ETC.",0,,0,0,,0
manhattan,FA-313,FA,"RECONSTRUCTION OF FERRY VESSELS, STATEN ISLAND TO MANHATTAN SERVICE",139590000,,153491000,0,,293081000
richmond,FA-26,FA,"FERRY MAINTENANCE FACILITY",0,,0,0,,0
richmond,FA-313,FA,"RECONSTRUCTION OF FERRY VESSELS, STATEN ISLAND TO MANHATTAN SERVICE",139590000,,153491000,0,,293081000
citywide,FT-1,FT,"PURCHASE OF OMNIBUSES & RELATED EQUIPMENT",0,,0,0,0,0
citywide,FT-2,FT,"CONSTRUCTION OF BUS MAINTENANCE FACILITIES",0,,0,0,0,0
citywide,HA-C001,HA,"HOUSING AUTHORITY CITY COUNCIL CAPITAL SUBSIDIES",0,,,,,0
citywide,HA-D001,HA,"HOUSING AUTHORITY CITY COUNCIL CAPITAL SUBSIDIES",17892000,,,,,17892000
citywide,HA-1,HA,"HOUSING AUTHORITY CITY CAPITAL SUBSIDIES",148335000,,0,,,148335000
bronx,HA-X001,HA,"HOUSING AUTHORITY BOROUGH PRESIDENT CAPITAL PROJECTS, THE BRONX",200000,,,,,200000
brooklyn,HA-K001,HA,"HOUSING AUTHORITY BOROUGH PRESIDENT CITY CAPITAL SUBSIDIES, BROOKLYN",2600000,,,,,2600000
manhattan,HA-M001,HA,"HOUSING AUTHORITY BOROUGH PRESIDENT CAPITAL SUBSIDIES, MANHATTAN",0,,,,,0
queens,HA-Q001,HA,"HOUSING AUTHORITY BOROUGH PRESIDENT CAPITAL SUBSIDIES, QUEENS",3250000,,,,,3250000
richmond,HA-R001,HA,"RECONSTRUCTION FUNDS FOR HOUSING AUTH CAPITAL PROJECTS, STATEN ISLAND",1400000,,,,,1400000
citywide,HB-61,HB,"LAND ACQUISITION FOR HIGHWAY BRIDGES",10000000,,,,,10000000
citywide,HB-215,HB,"IMPROVEMENTS TO HIGHWAY BRIDGES & STRUCTURES, CITYWIDE.",87899000,,0,18326000,0,106225000
citywide,HB-1012,HB,"DESIGN COST FOR BRIDGE FACILITIES, CITYWIDE",83446000,,0,2303000,5000000,90749000
citywide,HB-1013,HB,"PURCHASE OF EQUIPMENT FOR BRIDGES, CITYWIDE",8002000,,0,,,8002000
citywide,HB-1014,HB,"BRIDGE FACILITY RECONSTRUCTION AND REHABILITATION, CITYWIDE",0,,0,,0,0
citywide,HB-1015,HB,"PRIVATE FUNDS FOR HIGHWAY BRIDGE PROJECTS, CITYWIDE",,,,,0,0
citywide,HB-1070,HB,"BRIDGE PAINTING, CITYWIDE",26993000,,0,10031000,1200000,38224000
citywide,HB-1150,HB,"PROTECTION AGAINST MARINE BORERS, CITYWIDE",0,,0,0,,0
bronx,HB-199,HB,"RECONSTRUCTION OF BRIDGE AND APPROACHES AT EAST 153RD STREET",0,,0,2000000,1000000,3000000
bronx,HB-525,HB,"RECONSTRUCTION, ETC., BRIDGE OVER RAILROAD, W. 230 ST., BAILEY AVENUE",0,,0,0,0,0
bronx,HB-529,HB,"RECONSTRUCTION, ETC., BRIDGE AT E. 204 ST., GRAND CONCOURSE, THE BRONX",0,,0,,,0
bronx,HB-622,HB,"RECONST., R.R. BRIDGE AT LONGWOOD AVE., BRUCKNER BLVD, GARRISON AVE, B",0,,0,0,,0
bronx,HB-635,HB,"RECONSTRUCTION, BRIDGE, TIFFANY STREET, BRUCKNER BLVD. OVER CONRAIL, B",0,,0,0,,0
bronx,HB-644,HB,"RECONSTRUCTION OF BRIDGE, MADISON AVE. OVER HARLEM RIVER DRIVE",2790000,,36636000,0,,39426000
bronx,HB-647,HB,"RECONSTRUCTION OF BRIDGE, LAFAYETTE AVE. (BRUCKNER/GAR) BRONX",0,,0,0,,0
bronx,HB-649,HB,"RECONSTRUCTION OF BRIDGE, E. 165 ST. & WEBSTER AVE., THE BRONX",0,,,0,,0
bronx,HB-663,HB,"RAMP FROM THIRD AVENUE BRIDGE TO BRUCKNER BLVD & 3RD AVE BRIDGE",0,,0,,,0
bronx,HB-664,HB,"JACKSON-ST. ANN-E. 149TH-ST. MARY'S PARK",0,,,0,0,0
bronx,HB-1029,HB,"BRIDGE REHABILITATION, 145TH STREET, ETC., BRONX",0,,0,0,,0
bronx,HB-1030,HB,"BRIDGE REHABILITATION, E. TREMONT AVENUE, ETC. BRONX",0,,,,,0
bronx,HB-1086,HB,"WESTCHESTER AVE/HUTCHINSON RIVER PKWY BRIDGE, BIN 2-07583-7, THE BRONX",0,,0,5000000,,5000000
bronx,HB-1103,HB,"RECON OF CONC. VILLAGE AVE BR OVER METRO-NORTH BR., THE BRONX",0,,,,,0
bronx,HB-1104,HB,"RECON OF GRAND CONC. AVE BR OVER EAST 161ST ST., THE BRONX",0,,,,,0
bronx,HB-1123,HB,"RECONSTRUCTION OF BRUCKER EXP BRIDGE OVER AMTRAK, THE BRONX",0,,,,,0
bronx,HB-1127,HB,"RECON PELHAM PKWY BRIDGE OVER HUTCHINSON PKWY, THE BRONX",3239000,,,,,3239000
bronx,HB-1131,HB,"RECON UNIONPORT RD BRIDGE OVER WESTCHESTER CREEK, THE BRONX",10000000,,0,0,,10000000
bronx,HB-1148,HB,"RECON SHORE ROAD/HUTCHINSON RIVER PKWY, THE BRONX",1923000,,0,,,1923000
bronx,HB-1152,HB,"RECON BRYANT AVE BRIDGE/AMTRAK & CONCRAIL, THE BRONX",0,,,,,0
bronx,HB-1156,HB,"RECON WEST 239TH ST/HENRY HUDSON PKWY, THE BRONX",0,,,,,0
bronx,HB-1157,HB,"RECON WEST 252ND ST/HENRY HUDSON PKWY, THE BRONX",0,,,,,0
bronx,HB-1158,HB,"RECON WEST 232ND ST/HENRY HUDSON PKWY, THE BRONX",0,,,,,0
bronx,HB-1160,HB,"RECON CLAREMONT PKWY BR/METRO-NORTH R.R., THE BRONX",0,,,,,0
bronx,HB-1164,HB,"RECON CITY ISLAND ROAD OVER EASTCHESTER BAY, THE BRONX",0,,0,0,,0
bronx,HB-1172,HB,"RECON EAST 188TH ST BR OVER METRO NORTH RR, THE BRONX",0,,,,,0
bronx,HB-1190,HB,"RECONSTRUCT GRAND CONCOURSE BRIDGE OVER METRO-NORTH RR HUD, THE BRONX",10319000,,,,,10319000
bronx,HB-1191,HB,"RECONSTRUCT GRAND CONCOURSE BRIDGE OVER EAST 174TH STREET, THE BRONX",0,,,,,0
bronx,HB-1195,HB,"BRIDGE AT SHORE ROAD CIRCLE OVER AMTRAK, BIN # 2-241390, THE BRONX",0,,,,,0
bronx,HB-1214,HB,"RECONSTRUCT EAST TREMONT AVENUE OVER HUTCHINSON RIVER PKWY, THE BRONX",0,,,,,0
brooklyn,HB-530,HB,"RECONST & STRUCT REHAB R.R. BDGE PARKSIDE & OCEAN AVE, BROOKLYN",5676000,,,,,5676000
brooklyn,HB-540,HB,"REHABILITATION OF BRIDGE AT 65TH STREET, BROOKLYN",0,,,0,,0
brooklyn,HB-541,HB,"RECONST & STRUCT REHAB BDGE AT BAY PKWY, BROOKLYN",0,,,0,,0
brooklyn,HB-542,HB,"REHABILITATION, ETC., BRIDGE AT AVENUE O AND W. 7TH STREET",0,,0,0,,0
brooklyn,HB-548,HB,"RECONST & STRUCT REHAB BDGE AT 21ST AVE, BROOKLYN",542000,,,,,542000
brooklyn,HB-630,HB,"RECONSTRUCTION, HIGHLAND BOULEVARD BRIDGE OVER VERMONT AVENUE, BROOKLY",0,,0,,,0
brooklyn,HB-643,HB,"RECONSTRUCTION OF BRIDGE, GERRITSEN INLET-BSHP BKLYN",0,,0,0,,0
brooklyn,HB-645,HB,"RECONSTRUCTION OF BRIDGE, CROPSEY AVE. OVER CONEY ISLAND CREEK BKLYN",0,,4000000,0,,4000000
brooklyn,HB-653,HB,"RECONSTRUCTION OF BRIDGE, 9TH AVE. AT 37TH & NEW UTRECHT BKLYN",0,,,0,,0
brooklyn,HB-668,HB,"REHABILITATE E. 8TH STREET RAMP TO BSHP, BROOKLYN",0,,,,,0
brooklyn,HB-1023,HB,"BRIDGE REHABILITATION, MILL BASIN BRIDGE,ETC., BROOKLYN",0,,15471000,0,,15471000
brooklyn,HB-1024,HB,"BRIDGE REHABILITATION, BELT PARKWAY OVER PAERDEGAT BASIN, BROOKLYN",0,,0,0,,0
brooklyn,HB-1032,HB,"BRIDGE REHABILITATION, CHURCH AVENUE, ETC., BROOKLYN",0,,,,,0
brooklyn,HB-1039,HB,"RECONSTRUCTION, 15TH AVE. BRIDGE AT 63RD ST., BROOKLYN",0,,,,,0
brooklyn,HB-1072,HB,"RECONSTRUCTION BELT SHORE PARKWAY/FRESH CREEK BIN 2-23150-9, BROOKLYN",0,,0,,,0
brooklyn,HB-1089,HB,"RECONSTRUCTION OF THE BELT PARKWAY BRIDGE OVER BAY RIDGE AVE, BROOKLYN",0,,,,,0
brooklyn,HB-1090,HB,"RECON OF THE BELT/SHORE PARKWAY BRIDGE OVER NOSTRAND AVE, BROOKLYN",0,,0,,,0
brooklyn,HB-1091,HB,"RECONSTRUCTION OF THE BELT PARKWAY BRIDGE OVER ROCKAWAY PKWY, BROOKLYN",0,,0,,,0
brooklyn,HB-1107,HB,"RECON OF GREENPOINT AVE BR OVER NEWTOWN CREEK, BROOKLYN AND QUEENS",0,,0,,,0
brooklyn,HB-1140,HB,"RECON HAMILTON AVE BRIDGE OVER THE GOWANUS CANAL, BROOKLYN",0,,,,,0
brooklyn,HB-1149,HB,"RECON METROPOLITAN AVE BRIDGE OVER ENGLISH KILLS, BROOKLYN",1444000,,,,,1444000
brooklyn,HB-1161,HB,"RECON GRAND STREET BR/NEWTOWN CREEK, BROOKLYN/QUEENS",0,,,,,0
brooklyn,HB-1193,HB,"RECONSTRUCT BELT PARKWAY/OCEAN PARKWAY BRIDGE, BROOKLYN",0,,0,,,0
brooklyn,HB-1201,HB,"RECONSTRUCTION OF ATLANTIC AVE/LIRR ATLANTIC AVE BRIDGE, BROOKLYN",58293000,,27058000,5000000,,90351000
brooklyn,HB-1202,HB,"RECONSTRUCT BSHP BRIDGE OVER BAY PARKWAY, BROOKLYN",0,,,,,0
brooklyn,HB-1204,HB,"RECONSTRUCT 5OTH STREET BRIDGE OVER LIRR BAY RIDGE, BROOKLYN",0,,,,,0
brooklyn,HB-1205,HB,"RECONSTRUCT 5TH AVENUE BRIDGE OVER LIRR AND SEA BEACH, BROOKLYN",3142000,,,,,3142000
brooklyn,HB-1208,HB,"RECON FOSTER AVE,   BMT SUBWAY ,BROOKLYN.",0,,,,,0
brooklyn,HB-1213,HB,"RECONSTRUCT UNION STREET BRIDGE OVER GOWANUS CANAL, BROOKLYN",0,,,,,0
manhattan,HB-240,HB,"REHAB OF TRANS MANHATTAN EXPRESSWAY, MANHATTAN",0,,0,,,0
manhattan,HB-551,HB,"RECONST & STRUCT REHAB OF PARK TUNNEL E.34TH TO E.39TH ST, MANHATTAN",0,,,,,0
manhattan,HB-644,HB,"RECONSTRUCTION OF BRIDGE, MADISON AVE. OVER HARLEM RIVER DRIVE",2790000,,36636000,0,,39426000
manhattan,HB-663,HB,"RAMP FROM THIRD AVENUE BRIDGE TO BRUCKNER BLVD & 3RD AVE BRIDGE",0,,0,,,0
manhattan,HB-1027,HB,"BRIDGE REHABILITATION, HARLEM RIVER DRIVE VIADUCT, ETC., MANHATTAN",0,,0,0,,0
manhattan,HB-1056,HB,"FDR DRIVE & HOUSTON ST., OVERPASS, MANHATTAN",4827000,,,,,4827000
manhattan,HB-1117,HB,"RECON OF ROOSEVELT IS BR OVER EAST CHANNEL/EAST RIVER, MANHATTAN/QUEEN",0,,,,,0
manhattan,HB-1120,HB,"RECONSTRUCTION OF 11TH AVE VIADUCT OVER LIRR WEST SIDE YARD, MANHATTA",0,,0,,,0
manhattan,HB-1146,HB,"BATTERY PARK UNDERPASS/BROOKLYN BATTERY TUNNEL PLAZA",0,,0,,,0
manhattan,HB-1147,HB,"RECON BROADWAY BRIDGE OVER THE HARLEM RIVER, MANHATTAN",98366000,,75620000,28000000,,201986000
manhattan,HB-1159,HB,"RECON WARDS ISLAND PEDESTRIAN BR/HARLEM RIVER, MANHATTAN",0,,0,,,0
manhattan,HB-1165,HB,"RECON RIVERSIDE DRIVE/WEST 158TH ST, MANHATTAN",0,,0,,,0
manhattan,HB-1170,HB,"RECON AC POWELL BLVD N.B./AC POWELL BLVD, MANHATTAN",0,,,,,0
manhattan,HB-1171,HB,"RECON WEST 31ST BR OVER AMTRAK LAYUP TRACKS, MANHATTAN",26650000,,,,,26650000
manhattan,HB-1185,HB,"RECONSTRUCT WEST 34TH ST BRIDGE OVER AMTRACK 30TH ST BRANCH, MANHATTAN",59000,,,,,59000
manhattan,HB-1187,HB,"RECONSTRUCT WEST 36TH ST BRIDGE OVER AMTRACK 30TH ST BRANCH, MANHATTAN",37000,,,,,37000
manhattan,HB-1189,HB,"RECONSTRUCT W 79TH ST/79TH ST BOAT BASIN 30TH ST BRANCH, MANHATTAN",729000,,0,,,729000
manhattan,HB-1212,HB,"PARK AVENUE VIADUCT, MANHATTAN",0,,,,,0
manhattan,HB-1221,HB,"RECONSTRUCTION OF E. 25TH ST PEDESTRIAN BRIDGE OVER FDR",0,,,,,0
queens,HB-432,HB,"REHABILITATION OF BRIDGE AT HONEYWELL STREET, QUEENS",0,,,,,0
queens,HB-448,HB,"STRUCTURAL REHABILITATION OF BRIDGE AT QUEENS BOULEVARD, QUEENS",0,,0,0,,0
queens,HB-449,HB,"STRUCTURAL REHABILITATION OF BRIDGE AT 21ST STREET, QUEENS",0,,0,,,0
queens,HB-623,HB,"RECONST., R.R. BRIDGE AT BELL BLVD. BET. 41ST ST. AND 42ND AVE., QUEEN",0,,0,0,0,0
queens,HB-1112,HB,"RECON OF METROPOLITAN AVE BR OVER LIRR MONTAUK BR, QUEENS",0,,0,0,,0
queens,HB-1114,HB,"RECON OF TWO HEMPSTEAD AVE BRIDGES OVER CROSS ISLAND PKWY, QUEENS",0,,0,,,0
queens,HB-1115,HB,"RECON OF UNION TURNPIKE BRIDGE OVER CROSS ISLAND PKWY, QUEENS",552000,,,,,552000
queens,HB-1117,HB,"RECON OF ROOSEVELT IS BR OVER EAST CHANNEL/EAST RIVER, MANHATTAN/QUEEN",0,,,,,0
queens,HB-1130,HB,"RECON WOODSIDE AVE BRIDGE OVER THE LIRR, QUEENS",0,,,,,0
queens,HB-1134,HB,"RECON WOODHAVEN BLVD BRIDGE OVER QUEENS BLVD, QUEENS",0,,,,,0
queens,HB-1137,HB,"RECON ELLIOT AVE BRIDGE OVER QUEENS BLVD, QUEENS",0,,,,,0
queens,HB-1161,HB,"RECON GRAND STREET BR/NEWTOWN CREEK, BROOKLYN/QUEENS",0,,,,,0
queens,HB-1162,HB,"RECON BORDEN AVE OVER DUTCH KILLS, QUEENS",0,,,,,0
queens,HB-1181,HB,"STEINWAY STREET 2781 WEST BOUND BRIDGE BQE, QUEENS",0,,,,,0
queens,HB-1182,HB,"STEINWAY STREET 2781 EAST BOUND BRIDGE BQE, QUEENS",0,,,,,0
queens,HB-1203,HB,"RECONSTRUCT ROOSEVELT AVENUE BRIDGE OVER VAN WYCK EXPRESSWAY, QUEENS",0,,0,0,,0
richmond,HB-492,HB,"STRUCTURAL REHABILITATION OF BRIDGE AT TOMPKINS AVENUE, STATEN ISLAND",0,,,0,,0
richmond,HB-619,HB,"RECONSTRUCTION OF TOMPKINS AVENUE BRIDGES, S.I.",0,,0,0,,0
richmond,HB-1217,HB,"RECONSTRUCTION OF RAMPS AT ST. GEORGE FERRY TERMINAL, S.I.",0,,0,,,0
citywide,HD-C003,HD,"HOUSING AND COMMERCIAL PROPERTIES, CITYWIDE",0,,,,,0
citywide,HD-DN480,HD,"HABITAT FOR HUMANITY",1100000,,,,,1100000
citywide,HD-DN483,HD,"HUD DISTRESSED HOUSING",0,,,,,0
citywide,HD-D003,HD,"CITY COUNCIL FUNDING, CITYWIDE",0,,,,,0
citywide,HD-D999,HD,"CONSTRUCTION OR ACQUISITION OF A NON-CITY OWNED PUBLIC BETTERMENT",0,,,,,0
citywide,HD-I001,HD,"ARCH, ENGINEERING, ADMIN. EXPENSES, ETC.",0,,,,,0
citywide,HD-K082,HD,"AUTO / OTHER PURCHASES",250000,,,,,250000
citywide,HD-X082,HD,"AUTO / OTHER PURCHASES",165000,,,,,165000
citywide,HD-1,HD,"AFFORDABLE NEIGHBORHOOD COOPERATIVE PROGRAM",13556000,,0,,,13556000
citywide,HD-5,HD,"MULTIFAMILY PRESERVATION LOAN PROGRAM",0,,0,,,0
citywide,HD-7,HD,"HPD GREEN PROGRAM",6500000,,,,,6500000
citywide,HD-9,HD,"ARTICLE 7A FOR ANTI-ABANDONMENT",2908000,,,,,2908000
citywide,HD-10,HD,"LOW INCOME HOUSING TAX CREDIT (LIHTC) PROJECTS",19120000,,,,,19120000
citywide,HD-15,HD,"FEDERAL URBAN RENEWAL",0,,0,,,0
citywide,HD-16,HD,"421-A TRUST FUND",0,,,,,0
citywide,HD-17,HD,"RECONSTRUCTION OR REHABILITATION OF RESIDENTIAL BUILDINGS",0,,,,,0
citywide,HD-22,HD,"DEMOLITION OF UNSAFE BUILDINGS",3404000,,0,,,3404000
citywide,HD-51,HD,"SMALL HOMES DEVELOPMENT, SCATTER SITE",0,,0,,,0
citywide,HD-90,HD,"COMPUTER PURCHASES AND UPGRADE",17088000,,,,,17088000
citywide,HD-94,HD,"RECONSTRUCTION OF H.P.D. OFFICE SPACE",0,,,,,0
citywide,HD-98,HD,"ASSOCIATED COSTS - LARGE SITES",0,,,,,0
citywide,HD-100,HD,"HOMELESS HOUSING",0,,0,0,,0
citywide,HD-101,HD,"TENANT INTERIM LEASE PROGRAM (TIL), DAMP, CMP",0,,0,0,,0
citywide,HD-102,HD,"NEIGHBORHOOD ENTREPRENEUR PROGRAM & IN REM, CITYWIDE",0,,0,,0,0
citywide,HD-103,HD,"IN-REM DISPOSITION BUILDINGS AND SYSTEMS",0,,,,,0
citywide,HD-104,HD,"SPECIAL INITIATIVE PROGRAM",0,,,,0,0
citywide,HD-107,HD,"ARTICLE 8A LOAN PROGRAM",24706000,,0,,,24706000
citywide,HD-109,HD,"SUPPORTIVE HOUSING REHAB",0,,0,,0,0
citywide,HD-110,HD,"PARTICIPATION LOAN PROGRAM (PLP), REHAB",0,,0,0,0,0
citywide,HD-117,HD,"VACANT BUILDING PROGRAM",0,,0,,0,0
citywide,HD-118,HD,"LISC, HUDC, ENTERPRISE AND PLP PROGRAMS",0,,0,,,0
citywide,HD-119,HD,"CONSTRUCTION MANAGER PGM & VACANT CLUSTER PGM",0,,0,,0,0
citywide,HD-130,HD,"SENIOR CITIZEN HOME ASSISTANCE PROGRAM (SEHAP) & SMALL HOMES REHAB",0,,0,,,0
citywide,HD-148,HD,"MIXED INCOME HOUSING PROGRAMS, CITYWIDE",0,,0,,,0
citywide,HD-150,HD,"NEIGHBORHOOD REDEVELOPMENT, CITYWIDE",0,,0,,0,0
citywide,HD-157,HD,"ASSOCIATED COSTS - OTHER SITES",0,,0,0,0,0
citywide,HD-169,HD,"ANCHOR",0,,0,,0,0
citywide,HD-199,HD,"SMALL VACANT BUILDING PRIVATIZATION PROGRAM, CITYWIDE",0,,,,,0
citywide,HD-200,HD,"THIRD PARTY TRANSFER PROGRAMS, LL #37, CITYWIDE",54909000,,0,,0,54909000
citywide,HD-201,HD,"ASSISTED LIVING AND SENIOR HOUSING, CITYWIDE",58092000,,0,,,58092000
citywide,HD-202,HD,"NEW PARTNERS PROGRAM",0,,0,,,0
citywide,HD-204,HD,"MULTI-FAMILY NEW CONSTRUCTION",0,,0,,,0
citywide,HD-205,HD,"NEW MARKETPLACE MIXED INCOME RENTAL PROGRAM",0,,0,,0,0
citywide,HD-206,HD,"NYCHA PROGRAM, CITYWIDE",,,0,,,0
citywide,HD-207,HD,"HUD MULTI-FAMILY PROGRAM, CITYWIDE",22628000,,0,,,22628000
citywide,HD-208,HD,"MIDDLE INCOME HOUSING PROGRAM, CITYWIDE",0,,,,,0
citywide,HD-212,HD,"LOW INCOME RENTAL PROGRAM",0,,0,,0,0
citywide,HD-213,HD,"MIXED INCOME RENTAL - LOW",0,,0,,,0
citywide,HD-214,HD,"MIXED INCOME RENTAL - MOD/MID",20488000,,0,,,20488000
citywide,HD-215,HD,"MULTIFAMILY HOMEOWNERSHIP PROGRAM",0,,0,,,0
citywide,HD-217,HD,"NEIGHBORHOOD HOUSING SERVICES LOAN PROGRAM (NHS)",0,,,,,0
citywide,HD-218,HD,"LEAD PAINT PRIMARY PREVENTION PROGRAM",0,,,,,0
citywide,HD-221,HD,"DAMP SPECIAL PROJECTS",0,,0,,,0
citywide,HD-222,HD,"SUPPORTIVE HOUSING",168603000,,0,,,168603000
citywide,HD-223,HD,"SMALL HOMES DEVELOPMENT, LARGE SITES",5536000,,0,,,5536000
bronx,HD-DN488,HD,"LINDVILLE HOUSING COMPANY, INC",0,,,,,0
bronx,HD-DN502,HD,"SOUTH BRONX COMMUNITY CORP",0,,,,,0
bronx,HD-DN503,HD,"SOUTH BRONX OVERALL ECONOMIC DEVELOPMENT CORPORATION (SOBRO)",0,,,,,0
bronx,HD-DN507,HD,"WOMEN'S HOUSING AND ECONOMIC DEVELOPMENT CORPORATION",0,,,,,0
bronx,HD-DN516,HD,"JEWISH HOME LIFECARE, KITTAY HOUSE",300000,,,,,300000
bronx,HD-DN520,HD,"PROMESA HOUSING DEVELOPMENT FUND CORPORATION",0,,,,,0
bronx,HD-DN592,HD,"TILDEN TOWERS 1",0,,,,,0
bronx,HD-DN637,HD,"NYC PARTNERSHIP HOUSING DEVELOPMENT FUND COMPANY, INC - NEWBOLD AVENUE",0,,,,,0
bronx,HD-DN661,HD,"CONCOURSE VILLAGE",500000,,,,,500000
bronx,HD-DN692,HD,"1015 ANDERSON AVENUE HDFC",0,,,,,0
bronx,HD-DN693,HD,"941 JEROME AVENUE HDFC",0,,,,,0
bronx,HD-DN697,HD,"BRONX SHEPHERDS RESTORATION CORPORATION",0,,,,,0
bronx,HD-DN714,HD,"1020 CARROLL PLACE LLC",0,,,,,0
bronx,HD-DN748,HD,"COMMON GROUND COMMUNITY II HDFC",500000,,,,,500000
bronx,HD-DN803,HD,"CENTER FOR URBAN COMMUNITY SERVICES, INC.",0,,,,,0
bronx,HD-DN871,HD,"RIVER AVENUE MANAGEMENT LLC - 149TH & GERARD AFFORDABLE HOUSING",0,,,,,0
bronx,HD-DN896,HD,"TRACY TOWERS",0,,,,,0
bronx,HD-DN898,HD,"HIGH HAWK LLC",0,,,,,0
bronx,HD-DN899,HD,"THESSALONIA BAPTIST CHURCH",0,,,,,0
bronx,HD-DN900,HD,"BRONX PARENT HOUSING NETWORK, INC.",0,,,,,0
bronx,HD-DN925,HD,"DREAMYARD 3365 THIRD AVENUE HOUSING DEVELOPMENT FUND CORPORATION",450000,,,,,450000
bronx,HD-DN926,HD,"NEW YORK INSTITUTE FOR HUMAN DEVELOPMENT, INC.",1800000,,,,,1800000
bronx,HD-MN503,HD,"SOUTH BRONX OVERALL ECONOMIC DEVELOPMENT CORPORATION",0,,,,,0
bronx,HD-XN335,HD,"MJM CONSTRUCTION SERVICES, INC.",0,,,,,0
bronx,HD-XN343,HD,"HUGHES AVENUE HOMEOWNERS",0,,,,,0
bronx,HD-XN352,HD,"BELMONT ARTHUR AVENUE LOCAL DEVELOPMENT CORP.",0,,,,,0
bronx,HD-XN468,HD,"BRONX SHEPHERDS RESTORATION CORPORATION",0,,,,,0
bronx,HD-XN480,HD,"HABITAT FOR HUMANITY",400000,,,,,400000
bronx,HD-XN490,HD,"MID-BRONX SENIOR CITIZENS COUNCIL",0,,,,,0
bronx,HD-XN491,HD,"NEIGHBORHOOD HOUSING SERVICES OF NYC",0,,,,,0
bronx,HD-XN503,HD,"SOUTH BRONX OVERALL ECONOMIC DEVELOPMENT CORPORATION (SOBRO)",0,,,,,0
bronx,HD-XN516,HD,"JEWISH HOME & HOSPITAL LIFECARE SYSTEM - KITTAY HOUSE",0,,,,,0
bronx,HD-XN517,HD,"MOUNT HOPE HOUSING COMPANY",750000,,,,,750000
bronx,HD-XN523,HD,"WASHINGTON BRIDGE VIEW CO-OPS",0,,,,,0
bronx,HD-XN525,HD,"NYC PARTNERSHIP HOUSING DEVELOPMENT FUND CORPORATION, INC.",750000,,,,,750000
bronx,HD-XN527,HD,"VIA VERDE/THE GREEN WAY UNITS",0,,,,,0
bronx,HD-XN529,HD,"THE JERICHO PROJECT",0,,,,,0
bronx,HD-XN624,HD,"REO HOUSING DEVELOPMENT FUND CORP.",0,,,,,0
bronx,HD-XN672,HD,"SERVICES AND ADVOCAY FOR GLBT ELDERS, INC.",0,,,,,0
bronx,HD-XN713,HD,"HOGAR INC. - 1828     VYSE AVENUE",0,,,,,0
bronx,HD-XN714,HD,"TNS DEVELOPMENT GROUP LTD - 1020 CARROLL PLACE",0,,,,,0
bronx,HD-XN731,HD,"MORRISANIA REVITALIZATION CORP",0,,,,,0
bronx,HD-XN744,HD,"L & M DEVELOPMENT PARTNERS INC",0,,,,,0
bronx,HD-XN840,HD,"PHIPPS HOUSES      MELROSE 432 E. 162ND STREET",0,,,,,0
bronx,HD-XN866,HD,"FORDHAM BEDFORD 2850 MARION AVENUE",0,,,,,0
bronx,HD-XN867,HD,"SYDNEY HOUSE     839-843 TILDEN STREET",0,,,,,0
